"rule_id","section_code","check_type","variable","source_regle","scope_source","decision_status","action","anomaly_count","report_path","access_level","evaluation_status","evaluation_message","correction_applied"
"Q_B_B6F_SKIP","B","saut_univers","B6F","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_B7_PII","B","confidentialite","B7","questionnaire","hypothese_apurement","restriction_confidentialite","ne_pas_exporter",0,"","interne","NON_EXECUTEE","PII_EXCLUDED",FALSE
"Q_B_consentement_COMPUTED","B","variable_calculee","consentement","questionnaire","hypothese_apurement","documente_questionnaire","documenter_sans_corriger",0,"","interne","NON_EXECUTEE","non_applicable",FALSE
"Q_B_HHB_debut_MISSING","B","manquant_univers","HHB_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_B_HHB_fin_MISSING","B","manquant_univers","HHB_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",27,"document/03_B/Q_B_HHB_fin_MISSING.xlsx","interne","OK","",FALSE
"Q_B_HHB_fin_SKIP","B","saut_univers","HHB_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_age_COMPUTED","C","variable_calculee","age","questionnaire","hypothese_apurement","documente_questionnaire","documenter_sans_corriger",0,"","interne","NON_EXECUTEE","non_applicable",FALSE
"Q_C_C1_DOMAIN","C","domaine","C1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C1_MISSING","C","manquant_univers","C1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C1_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C1_SKIP","C","saut_univers","C1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C10_MISSING","C","manquant_univers","C10","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C10_SKIP","C","saut_univers","C10","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C11_MISSING","C","manquant_univers","C11","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C11_SKIP","C","saut_univers","C11","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2_MISSING","C","manquant_univers","C2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2_SKIP","C","saut_univers","C2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2A_annee_MISSING","C","manquant_univers","C2A_annee","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C2A_annee_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C2A_annee_SKIP","C","saut_univers","C2A_annee","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2A_annee_SPECIAL","C","code_special_autorise","C2A_annee","questionnaire","hypothese_apurement","documente_questionnaire_action_a_valider","export_excel_diagnostic",129,"document/04_C/Q_C_C2A_annee_SPECIAL.xlsx","interne","OK","",FALSE
"Q_C_C2A_annee_VALIDATION_1","C","validation","C2A_annee","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2A_Jour_MISSING","C","manquant_univers","C2A_Jour","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C2A_Jour_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C2A_Jour_SKIP","C","saut_univers","C2A_Jour","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2A_Jour_SPECIAL","C","code_special_autorise","C2A_Jour","questionnaire","hypothese_apurement","documente_questionnaire_action_a_valider","export_excel_diagnostic",235,"document/04_C/Q_C_C2A_Jour_SPECIAL.xlsx","interne","OK","",FALSE
"Q_C_C2A_Jour_VALIDATION_1","C","validation","C2A_Jour","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2A_Mois_MISSING","C","manquant_univers","C2A_Mois","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C2A_Mois_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C2A_Mois_SKIP","C","saut_univers","C2A_Mois","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C2A_Mois_SPECIAL","C","code_special_autorise","C2A_Mois","questionnaire","hypothese_apurement","documente_questionnaire_action_a_valider","export_excel_diagnostic",245,"document/04_C/Q_C_C2A_Mois_SPECIAL.xlsx","interne","OK","",FALSE
"Q_C_C2A_Mois_VALIDATION_1","C","validation","C2A_Mois","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C3_DOMAIN","C","domaine","C3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C3_MISSING","C","manquant_univers","C3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C3_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C3_SKIP","C","saut_univers","C3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C4_DOMAIN","C","domaine","C4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C4_MISSING","C","manquant_univers","C4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C4_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C4_SKIP","C","saut_univers","C4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C5_DOMAIN","C","domaine","C5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C5_MISSING","C","manquant_univers","C5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C5_SKIP","C","saut_univers","C5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C6_DOMAIN","C","domaine","C6","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C6_MISSING","C","manquant_univers","C6","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C6_SKIP","C","saut_univers","C6","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C7_DOMAIN","C","domaine","C7","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C7_MISSING","C","manquant_univers","C7","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",17,"document/04_C/Q_C_C7_MISSING.xlsx","interne","OK","",FALSE
"Q_C_C7_SKIP","C","saut_univers","C7","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C8_DOMAIN","C","domaine","C8","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C8_MISSING","C","manquant_univers","C8","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C8_SKIP","C","saut_univers","C8","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C9_MISSING","C","manquant_univers","C9","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_C9_SKIP","C","saut_univers","C9","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_HHC_debut_MISSING","C","manquant_univers","HHC_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",14,"document/04_C/Q_C_HHC_debut_MISSING.xlsx","interne","OK","",FALSE
"Q_C_HHC_debut_SKIP","C","saut_univers","HHC_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_C_HHC_fin_MISSING","C","manquant_univers","HHC_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",16,"document/04_C/Q_C_HHC_fin_MISSING.xlsx","interne","OK","",FALSE
"Q_C_HHC_fin_SKIP","C","saut_univers","HHC_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_COVER_cover_district_MISSING","COVER","manquant_univers","cover_district","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_COVER_cover_id_PII","COVER","confidentialite","cover_id","questionnaire","hypothese_apurement","restriction_confidentialite","ne_pas_exporter",0,"","interne","NON_EXECUTEE","PII_EXCLUDED",FALSE
"Q_COVER_cover_region_MISSING","COVER","manquant_univers","cover_region","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_COVER_localite_MISSING","COVER","manquant_univers","localite","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_COVER_nom_PII","COVER","confidentialite","nom","questionnaire","hypothese_apurement","restriction_confidentialite","ne_pas_exporter",0,"","interne","NON_EXECUTEE","PII_EXCLUDED",FALSE
"Q_COVER_telephone_PII","COVER","confidentialite","telephone","questionnaire","hypothese_apurement","restriction_confidentialite","ne_pas_exporter",0,"","interne","NON_EXECUTEE","PII_EXCLUDED",FALSE
"Q_D_D1_MISSING","D","manquant_univers","D1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_D1_MISSING.xlsx","interne","OK","",FALSE
"Q_D_D1_SKIP","D","saut_univers","D1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D2_MISSING","D","manquant_univers","D2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_D2_MISSING.xlsx","interne","OK","",FALSE
"Q_D_D2_SKIP","D","saut_univers","D2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D2_VALIDATION_1","D","validation","D2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D3_DOMAIN","D","domaine","D3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D3_MISSING","D","manquant_univers","D3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_D3_MISSING.xlsx","interne","OK","",FALSE
"Q_D_D3_SKIP","D","saut_univers","D3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D3X_MISSING","D","manquant_univers","D3X","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D3X_SKIP","D","saut_univers","D3X","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D4_MISSING","D","manquant_univers","D4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_D4_MISSING.xlsx","interne","OK","",FALSE
"Q_D_D4_SKIP","D","saut_univers","D4","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__1","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__10","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__11","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__2","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__3","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__4","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__5","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__6","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__7","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__8","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_DOMAIN_D5__9","D","domaine_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_MISSING","D","manquant_univers_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_D5_MISSING.xlsx","interne","OK","",FALSE
"Q_D_D5_SKIP","D","saut_univers_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_D5_VALIDATION_1","D","validation_multiselect","D5","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_HHD_debut_MISSING","D","manquant_univers","HHD_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_HHD_debut_MISSING.xlsx","interne","OK","",FALSE
"Q_D_HHD_debut_SKIP","D","saut_univers","HHD_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_D_HHD_fin_MISSING","D","manquant_univers","HHD_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",1,"document/05_D/Q_D_HHD_fin_MISSING.xlsx","interne","OK","",FALSE
"Q_D_HHD_fin_SKIP","D","saut_univers","HHD_fin","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E1_DOMAIN","E","domaine","E1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E1_MISSING","E","manquant_univers","E1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E1_SKIP","E","saut_univers","E1","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E2_DOMAIN","E","domaine","E2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E2_MISSING","E","manquant_univers","E2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E2_SKIP","E","saut_univers","E2","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E3_DOMAIN","E","domaine","E3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E3_MISSING","E","manquant_univers","E3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E3_SKIP","E","saut_univers","E3","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E3A_DOMAIN","E","domaine","E3A","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E3A_MISSING","E","manquant_univers","E3A","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_E3A_SKIP","E","saut_univers","E3A","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
"Q_E_EMPLOYE_COMPUTED","E","variable_calculee","EMPLOYE","questionnaire","hypothese_apurement","documente_questionnaire","documenter_sans_corriger",0,"","interne","NON_EXECUTEE","non_applicable",FALSE
"Q_E_HHE_debut_MISSING","E","manquant_univers","HHE_debut","questionnaire","hypothese_apurement","documente_questionnaire","export_excel_diagnostic",0,"","interne","OK","",FALSE
